point,point_en,sign,sign_en,keyword,appearance,first_impression,personality_mask,life_approach,ruling_planet,body_area,life_theme,shadow,compatibility
ASC（アセンダント）,Ascendant,牡羊座,Aries,先駆的・行動的・エネルギッシュ,活動的で体格がしっかりしている。顔に活力があり、目に力がある。,エネルギッシュで自信に満ちた印象。リーダーシップを感じさせる。,積極的・競争的・直接的。行動が先で考えは後。,人生に積極的に挑み、新しいことを始めることを好む。,火星,頭部・顔・脳,自己確立と先駆的な行動,衝動的・攻撃的・自己中心的になりやすい,天秤座ASCと対極。射手座・獅子座ASCと相性が良い。
ASC（アセンダント）,Ascendant,牡牛座,Taurus,安定的・感覚的・忍耐強い,がっしりした体格。目に穏やかさがあり、声が心地よい。,落ち着いた信頼感のある印象。安心感を与える。,穏やか・実用的・感覚的。ゆっくりと確実に動く。,安定と豊かさを求め、着実に目標に向かって進む。,金星,首・喉・声帯,物質的な安定と感覚的な豊かさの確立,頑固・変化への抵抗・物質主義,蠍座ASCと対極。乙女座・山羊座ASCと相性が良い。
ASC（アセンダント）,Ascendant,双子座,Gemini,知的・多才・コミュニケーション上手,細身で機敏な体型。表情が豊かで目が輝いている。,知的で話しやすい印象。好奇心旺盛で明るい。,社交的・機知に富む・多才。話すことが好き。,多様な経験と知識を求め、変化と刺激を楽しむ。,水星,腕・手・肺・神経系,コミュニケーションと多様な知識の習得,表面的・優柔不断・集中力の欠如,射手座ASCと対極。天秤座・水瓶座ASCと相性が良い。
ASC（アセンダント）,Ascendant,蟹座,Cancer,感受性豊か・保護的・家族志向,丸みのある顔と体型。目に深い感情がある。,温かく包容力のある印象。安心感と母性を感じさせる。,感受性豊か・保護的・直感的。感情が表情に出やすい。,感情的な安全と家族の絆を求め、人を守ることに喜びを感じる。,月,胸・胃・乳房,感情的な安全と家族の絆の確立,過保護・感情的な操作・過去への執着,山羊座ASCと対極。蠍座・魚座ASCと相性が良い。
ASC（アセンダント）,Ascendant,獅子座,Leo,堂々とした・カリスマ的・表現力豊か,堂々とした体型。髪が豊かで目立つ。存在感がある。,カリスマ的で自信に満ちた印象。注目を集める。,自信に満ちた・表現力豊か・寛大。舞台の中心にいることを好む。,創造的な表現と認知を求め、人生を舞台として楽しむ。,太陽,心臓・背中・脊椎,創造的な自己表現と真のリーダーシップ,傲慢・承認欲求・自己中心的,水瓶座ASCと対極。牡羊座・射手座ASCと相性が良い。
ASC（アセンダント）,Ascendant,乙女座,Virgo,分析的・実用的・謙虚,整った清潔感のある外見。細部に気を使う。,知的で控えめな印象。信頼感と実用性を感じさせる。,分析的・実用的・謙虚。細部への注意が高い。,実用的な改善と奉仕を通じて人生を充実させる。,水星,消化器系・腸・神経系,実用的な奉仕と完璧さの追求,完璧主義・批判的・過度な心配,魚座ASCと対極。牡牛座・山羊座ASCと相性が良い。
ASC（アセンダント）,Ascendant,天秤座,Libra,調和的・魅力的・外交的,バランスのとれた美しい外見。笑顔が魅力的。,魅力的で洗練された印象。調和と優雅さを感じさせる。,外交的・調和的・魅力的。人間関係を大切にする。,調和と美を求め、パートナーシップを通じて人生を豊かにする。,金星,腎臓・腰・皮膚,調和的なパートナーシップと美の追求,優柔不断・依存的・対立回避,牡羊座ASCと対極。双子座・水瓶座ASCと相性が良い。
ASC（アセンダント）,Ascendant,蠍座,Scorpio,強烈・神秘的・洞察力がある,強烈な目が特徴。暗い色の外見が多く、神秘的な雰囲気。,強烈で神秘的な印象。深い洞察力を感じさせる。,神秘的・強烈・洞察力がある。感情を表に出さない。,深い変容と真実の探求を通じて人生を変革する。,冥王星（伝統的：火星）,生殖器・排泄器官,深い変容と真実の探求,嫉妬・コントロール欲・秘密主義,牡牛座ASCと対極。蟹座・魚座ASCと相性が良い。
ASC（アセンダント）,Ascendant,射手座,Sagittarius,楽観的・自由・哲学的,背が高く活動的な体型。笑顔が明るく開放的。,楽観的で自由な印象。冒険心と知的な好奇心を感じさせる。,楽観的・自由・哲学的。大きな絵を描くことを好む。,自由と知恵の探求を通じて人生を冒険として楽しむ。,木星,腰・大腿・肝臓,自由な探求と哲学的な知恵の習得,無責任・誇大・細部への注意不足,双子座ASCと対極。牡羊座・獅子座ASCと相性が良い。
ASC（アセンダント）,Ascendant,山羊座,Capricorn,野心的・責任感が強い・実用的,引き締まった体型。真剣な表情が多く、年齢より老けて見えることも。,真剣で責任感のある印象。信頼性と権威を感じさせる。,野心的・責任感が強い・実用的。目標に向かって着実に進む。,社会的な成功と責任を通じて人生を構築する。,土星,膝・骨格・皮膚,社会的な成功と真の権威の確立,冷淡・仕事中毒・感情の抑圧,蟹座ASCと対極。牡牛座・乙女座ASCと相性が良い。
ASC（アセンダント）,Ascendant,水瓶座,Aquarius,革新的・独立的・人道的,独特のスタイルと個性的な外見。目に知性と独立心がある。,独特で革新的な印象。知的で人道的な雰囲気を感じさせる。,革新的・独立的・人道的。社会の常識に縛られない。,革新と人道的な活動を通じて社会に貢献する。,天王星（伝統的：土星）,足首・ふくらはぎ・循環器系,革新的な社会貢献と個人の自由の確立,感情的な冷淡さ・反権威的すぎる・孤立,獅子座ASCと対極。双子座・天秤座ASCと相性が良い。
ASC（アセンダント）,Ascendant,魚座,Pisces,感受性豊か・霊的・夢幻的,柔らかく夢幻的な外見。目が大きく深みがある。,霊的で感受性豊かな印象。慈悲と共感を感じさせる。,感受性豊か・霊的・夢幻的。境界線が曖昧になりやすい。,霊的な探求と慈悲を通じて人生に意味を見出す。,海王星（伝統的：木星）,足・リンパ系・免疫系,霊的な成長と普遍的な慈悲の実践,現実逃避・境界線の欠如・犠牲的自己放棄,乙女座ASCと対極。蟹座・蠍座ASCと相性が良い。
