id,name_en,name_ja,symbol,date_range,element,element_ja,modality,modality_ja,ruling_planet_traditional,ruling_planet_modern,ruling_planet_ja,body_part_ja,house_natural,polarity_ja,keywords_en,keywords_ja,strengths_ja,weaknesses_ja,description_ja,tarot_major_arcana,tarot_major_arcana_ja,color_ja,gemstone_ja,compatible_signs_ja
1,Aries,牡羊座,♈,3/21 - 4/19,Fire,火,Cardinal,活動宮,Mars,Mars,火星,頭部・顔,1,陽性・男性的,initiative|courage|action|leadership|impulsive|pioneering|competitive|assertive,積極性|勇気|行動力|リーダーシップ|衝動的|開拓精神|競争心|自己主張,行動力・開拓精神・勇気・情熱・リーダーシップ,衝動的・短気・自己中心的・無謀,牡羊座は黄道帯の第1サインであり、春分点から始まる。火の元素と活動宮の組み合わせにより、強烈な行動エネルギーを持つ。支配星の火星が示す通り、戦士的な精神と開拓者の魂を体現する。新しいことを始める力に優れるが、継続力に欠ける面もある。,The Emperor (IV),皇帝（IV）,赤,ダイヤモンド、ルビー,獅子座|射手座|双子座|水瓶座
2,Taurus,牡牛座,♉,4/20 - 5/20,Earth,地,Fixed,不動宮,Venus,Venus,金星,喉・首,2,陰性・女性的,stability|sensuality|patience|determination|materialism|reliability|stubbornness|beauty,安定|官能性|忍耐|決断力|物質主義|信頼性|頑固さ|美的感覚,忍耐力・信頼性・実用性・美的センス・安定志向,頑固・変化を嫌う・物質主義・嫉妬深い,牡牛座は地の元素と不動宮の組み合わせにより、安定と持続力を象徴する。支配星の金星が示す通り、美・快楽・物質的豊かさへの強い志向を持つ。五感を大切にし、心地よい環境を求める。変化を好まず、一度決めたことを最後まで貫く粘り強さがある。,The Hierophant (V),法王（V）,緑、ピンク,エメラルド、ローズクォーツ,乙女座|山羊座|蟹座|魚座
3,Gemini,双子座,♊,5/21 - 6/20,Air,風,Mutable,柔軟宮,Mercury,Mercury,水星,腕・手・肺,3,陽性・男性的,communication|versatility|curiosity|adaptability|duality|intellect|wit|restlessness,コミュニケーション|多才|好奇心|適応力|二面性|知性|機知|落ち着きのなさ,コミュニケーション能力・知性・適応力・多才・機知,優柔不断・二面性・飽きっぽい・表面的,双子座は風の元素と柔軟宮の組み合わせにより、知的な柔軟性と適応力を象徴する。支配星の水星が示す通り、言語・情報・コミュニケーションに強い関心を持つ。双子のシンボルが示す二面性を持ち、様々な視点から物事を捉える能力に優れる。,The Lovers (VI),恋人たち（VI）,黄色、シルバー,アゲート、シトリン,天秤座|水瓶座|牡羊座|獅子座
4,Cancer,蟹座,♋,6/21 - 7/22,Water,水,Cardinal,活動宮,Moon,Moon,月,胸部・胃・乳房,4,陰性・女性的,nurturing|emotional|intuitive|protective|home-loving|sensitive|moody|tenacious,養育|感情的|直感的|保護本能|家庭志向|繊細|気分屋|粘り強い,共感力・直感力・家族への愛情・保護本能・忍耐力,気分屋・過度に感情的・執着心・引きこもり傾向,蟹座は水の元素と活動宮の組み合わせにより、感情的な深さと行動力を持つ。支配星の月が示す通り、感情・直感・記憶・家族との絆を重視する。蟹の甲羅のように、外側は硬く内側は柔らかい。家庭と家族を何より大切にし、愛する人を守ろうとする強い保護本能を持つ。,The Chariot (VII),戦車（VII）,シルバー、白,ムーンストーン、パール,蠍座|魚座|牡牛座|乙女座
5,Leo,獅子座,♌,7/23 - 8/22,Fire,火,Fixed,不動宮,Sun,Sun,太陽,心臓・背骨・上背部,5,陽性・男性的,creativity|generosity|leadership|drama|pride|loyalty|warmth|confidence,創造性|寛大さ|リーダーシップ|劇的|プライド|忠誠心|温かさ|自信,カリスマ性・創造力・寛大さ・忠誠心・リーダーシップ,傲慢・自己中心的・承認欲求が強い・頑固,獅子座は火の元素と不動宮の組み合わせにより、燃え続ける情熱と強い自己表現を象徴する。支配星の太陽が示す通り、自己・アイデンティティ・創造性の中心にある。舞台の中心に立つことを好み、周囲を明るく照らすカリスマ性を持つ。愛する人への忠誠心は深く、惜しみなく与える。,Strength (VIII),力（VIII）,ゴールド、オレンジ,ルビー、アンバー,牡羊座|射手座|双子座|天秤座
6,Virgo,乙女座,♍,8/23 - 9/22,Earth,地,Mutable,柔軟宮,Mercury,Mercury,水星,消化器系・腸,6,陰性・女性的,analytical|practical|diligent|perfectionist|helpful|critical|organized|health-conscious,分析的|実用的|勤勉|完璧主義|奉仕的|批判的|整理整頓|健康意識,分析力・勤勉さ・実用性・奉仕精神・完璧主義,批判的・心配性・完璧主義すぎる・自己批判,乙女座は地の元素と柔軟宮の組み合わせにより、実用的な知性と奉仕精神を象徴する。支配星の水星が示す通り、細部への注意・分析・実用的なコミュニケーションに優れる。完璧を追求する傾向があり、仕事や日常生活において高い基準を設ける。他者への奉仕に喜びを見出す。,The Hermit (IX),隠者（IX）,ネイビー、茶色、緑,サファイア、ペリドット,牡牛座|山羊座|蟹座|蠍座
7,Libra,天秤座,♎,9/23 - 10/22,Air,風,Cardinal,活動宮,Venus,Venus,金星,腎臓・腰部,7,陽性・男性的,balance|harmony|justice|diplomacy|beauty|partnership|indecision|fairness,バランス|調和|正義|外交性|美|パートナーシップ|優柔不断|公平さ,外交力・美的センス・公平さ・協調性・知性,優柔不断・対立を避けすぎる・依存的・表面的,天秤座は風の元素と活動宮の組み合わせにより、知的なバランス感覚と社交性を象徴する。支配星の金星が示す通り、美・調和・関係性を重視する。天秤のシンボルが示す通り、公平さと正義を追求し、対立する意見の間で均衡を保とうとする。パートナーシップを通じて自己を表現する。,Justice (XI),正義（XI）,ピンク、ライトブルー,オパール、ローズクォーツ,双子座|水瓶座|獅子座|射手座
8,Scorpio,蠍座,♏,10/23 - 11/21,Water,水,Fixed,不動宮,Mars,Pluto,冥王星（伝統：火星）,生殖器・骨盤,8,陰性・女性的,transformation|intensity|power|mystery|passion|control|jealousy|depth,変容|強烈さ|力|神秘|情熱|コントロール|嫉妬|深さ,洞察力・変容力・情熱・忠誠心・探究心,嫉妬深い・執念深い・秘密主義・支配的,蠍座は水の元素と不動宮の組み合わせにより、深い感情と変容の力を象徴する。現代支配星の冥王星が示す通り、死と再生・変容・隠れた真実を探求する。表面的なものに満足せず、物事の本質と深層に迫ろうとする。強烈な感情と意志力を持ち、一度決めたことは必ず成し遂げる。,Death (XIII),死神（XIII）,黒、深紅,オブシディアン、トパーズ,蟹座|魚座|乙女座|山羊座
9,Sagittarius,射手座,♐,11/22 - 12/21,Fire,火,Mutable,柔軟宮,Jupiter,Jupiter,木星,腰・太もも・肝臓,9,陽性・男性的,freedom|philosophy|adventure|optimism|honesty|expansion|wanderlust|wisdom,自由|哲学|冒険|楽観主義|正直さ|拡大|旅への憧れ|知恵,楽観主義・哲学的思考・冒険心・正直さ・知的好奇心,無責任・約束を守らない・無神経・過度な楽観主義,射手座は火の元素と柔軟宮の組み合わせにより、自由な精神と知的探求を象徴する。支配星の木星が示す通り、拡大・成長・哲学・高等教育を重視する。弓矢のシンボルが示す通り、常に遠くの目標に向かって矢を放つ。旅・外国文化・宗教・哲学に強い関心を持つ。,Temperance (XIV),節制（XIV）,紫、青,ターコイズ、アメジスト,牡羊座|獅子座|天秤座|水瓶座
10,Capricorn,山羊座,♑,12/22 - 1/19,Earth,地,Cardinal,活動宮,Saturn,Saturn,土星,膝・骨・皮膚,10,陰性・女性的,ambition|discipline|responsibility|patience|structure|achievement|tradition|practicality,野心|規律|責任感|忍耐|構造|達成|伝統|実用性,野心・規律・責任感・実用性・忍耐力,冷淡・悲観的・硬直的・仕事中毒,山羊座は地の元素と活動宮の組み合わせにより、実用的な野心と社会的達成を象徴する。支配星の土星が示す通り、構造・規律・責任・時間を重視する。山を登る山羊のように、着実に頂点を目指す粘り強さを持つ。社会的地位・キャリア・長期的な目標に強い関心を持つ。,The Devil (XV),悪魔（XV）,黒、ダークブラウン,ガーネット、オニキス,牡牛座|乙女座|蠍座|魚座
11,Aquarius,水瓶座,♒,1/20 - 2/18,Air,風,Fixed,不動宮,Saturn,Uranus,天王星（伝統：土星）,足首・ふくらはぎ・循環器系,11,陽性・男性的,innovation|humanitarianism|independence|rebellion|originality|eccentricity|idealism|community,革新|人道主義|独立心|反骨精神|独創性|奇抜さ|理想主義|コミュニティ,独創性・人道主義・革新性・知性・友情,感情的に距離を置く・頑固・反抗的・予測不能,水瓶座は風の元素と不動宮の組み合わせにより、知的な独立心と人道主義を象徴する。現代支配星の天王星が示す通り、革新・変革・独創性を重視する。水瓶のシンボルが示す通り、知識と革新のエネルギーを社会に注ぎ込む。個人の自由と集団の利益の両方を大切にする。,The Star (XVII),星（XVII）,エレクトリックブルー、シルバー,アメジスト、アクアマリン,双子座|天秤座|牡羊座|射手座
12,Pisces,魚座,♓,2/19 - 3/20,Water,水,Mutable,柔軟宮,Jupiter,Neptune,海王星（伝統：木星）,足・リンパ系,12,陰性・女性的,compassion|intuition|spirituality|imagination|sensitivity|escapism|mysticism|empathy,思いやり|直感|霊性|想像力|感受性|現実逃避|神秘主義|共感力,共感力・直感・創造性・霊的感受性・思いやり,現実逃避・境界線が曖昧・優柔不断・自己犠牲過多,魚座は水の元素と柔軟宮の組み合わせにより、深い感受性と霊的な感覚を象徴する。現代支配星の海王星が示す通り、夢・直感・神秘・幻想を重視する。二匹の魚が反対方向に泳ぐシンボルが示す通り、現実と夢想の間を揺れ動く。深い共感力と芸術的感受性を持つ。,The Moon (XVIII),月（XVIII）,シーグリーン、ラベンダー,アクアマリン、アメジスト,蟹座|蠍座|牡牛座|山羊座
